	Score	0.95 MoE	P-Value	Q-Value
HALLMARK_HYPOXIA	0.23894925150324234			
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.23656237648066003			
HALLMARK_APOPTOSIS	0.2217755335826561			
HALLMARK_TGF_BETA_SIGNALING	0.1860508894539572			
HALLMARK_DNA_REPAIR	0.14917658566647743			
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.1733609979198235			
HALLMARK_MITOTIC_SPINDLE	-0.17463284396662263			
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.20829293770940543			
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.24218708825338373			
HALLMARK_G2M_CHECKPOINT	-0.26072512637392703			
