	Score	0.95 MoE	P-Value	Q-Value
HALLMARK_HYPOXIA	0.14793516620713018			
HALLMARK_TGF_BETA_SIGNALING	0.09980397333567534			
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0966643632509876			
HALLMARK_APOPTOSIS	0.08669766523938997			
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.08426545189291597			
HALLMARK_MITOTIC_SPINDLE	0.0835486469182874			
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.07324878508655448			
HALLMARK_DNA_REPAIR	0.06220300951318272			
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.10422398230819649			
HALLMARK_G2M_CHECKPOINT	-0.12729825425874394			
